t;h;season
274.550000;090000;winter
278.150000;120000;winter
277.650000;120000;winter
278.050000;120000;winter
277.250000;120000;winter
275.750000;120000;winter
279.550000;150000;winter
279.150000;150000;winter
278.150000;150000;winter
277.550000;150000;winter
277.550000;150000;winter
276.650000;180000;winter
274.650000;180000;winter
275.450000;180000;winter
274.650000;180000;winter
275.750000;180000;winter
275.650000;210000;winter
273.150000;210000;winter
273.350000;210000;winter
271.950000;210000;winter
273.550000;210000;winter
274.750000;000000;winter
272.350000;000000;winter
271.650000;000000;winter
271.450000;000000;winter
272.750000;000000;winter
275.350000;030000;winter
272.650000;030000;winter
272.050000;030000;winter
272.050000;030000;winter
271.350000;030000;winter
275.750000;060000;winter
273.950000;060000;winter
272.150000;060000;winter
272.650000;060000;winter
271.150000;060000;winter
276.650000;090000;winter
274.950000;090000;winter
274.150000;090000;winter
273.950000;090000;winter
272.650000;090000;winter
279.350000;120000;winter
278.050000;120000;winter
277.350000;120000;winter
276.650000;120000;winter
276.350000;120000;winter
280.550000;150000;winter
279.750000;150000;winter
280.050000;150000;winter
278.650000;150000;winter
278.950000;150000;winter
279.750000;180000;winter
279.750000;180000;winter
279.950000;180000;winter
279.350000;180000;winter
279.150000;180000;winter
280.750000;210000;winter
279.750000;210000;winter
281.150000;210000;winter
279.250000;210000;winter
279.550000;210000;winter
280.450000;000000;winter
280.150000;000000;winter
280.250000;000000;winter
279.950000;000000;winter
280.650000;000000;winter
279.850000;030000;winter
279.450000;030000;winter
280.850000;030000;winter
280.750000;030000;winter
282.550000;030000;winter
279.250000;060000;winter
278.850000;060000;winter
280.050000;060000;winter
279.750000;060000;winter
282.750000;060000;winter
279.450000;090000;winter
278.350000;090000;winter
279.550000;090000;winter
280.050000;090000;winter
282.850000;090000;winter
280.250000;120000;winter
277.450000;120000;winter
277.350000;120000;winter
278.550000;120000;winter
284.050000;120000;winter
280.550000;150000;winter
278.950000;150000;winter
278.750000;150000;winter
278.150000;150000;winter
277.950000;180000;winter
277.150000;180000;winter
277.050000;180000;winter
